Sex,Age,Ethnicity,Ethnicity_Collapsed,Ethnicity_binary,Region,Type_Of_Org,Specific_Type_Of_Org,Education_Band,BORNUK,BORNUK_binary,Annual_Income,Weekly_Income,income_drop,income_group,OutsourcedNonOL,TradeUnion,TUCOV,Occupation_Catergory,Organisation_Catergory,Guaranteed_Hours,Notice_Of_Working_Hours,Notice_Of_Cancelled_Shifts,Cancelled_Shift_Pay,Sick_Pay,RightsViolations_Paid_On_Time,RightsViolations_Paid_Correct_Amount,RightsViolations_Leave_Entitlement,RightsViolations_Holiday_Pay,RightsViolations_Sick_Pay,RightsViolations_Pay_Slip,RightsViolations_Health_Safety,RightsViolations_None,RightsViolations_TEXT,Job_Satisfaction,Pay_Comparison,Training_Induction,Treatment_At_Work_InHouse,Treatment_At_Work_Managers,Treatment_At_Work_Overall,Inhouse_Discrimination_Age,Inhouse_Discrimination_Disability,Inhouse_Discrimination_Nationality,Inhouse_Discrimination_Ethnicity,Inhouse_Discrimination_Sex,Client_Discrimination_Age,Client_Discrimination_Disability,Client_Discrimination_Nationality,Client_Discrimination_Ethnicity,Client_Discrimination_Sex,Clarity1,Clarity2,Clarity3,Clarity4,Clarity5,Clarity6,Clarity7,Clarity8,Clarity9,Clarity10,Clarity11,Clarity_Overall_Mean,Why_Job_Like,Why_Job_Convinient,Why_Job_Flexibility,Why_Job_Pay,Why_Job_Collegues,Why_Job_Culture,Why_Job_Progress,Why_Job_BestAvailable,Why_Job_NotQualified,Why_Job_Health,Why_Job_Carer,Pros_And_Cons_Flexibility,Pros_And_Cons_Pay,Pros_And_Cons_Hours,Pros_And_Cons_Holiday,Pros_And_Cons_Terms,Pros_And_Cons_Promotion,Pros_And_Cons_Training,Pros_And_Cons_Security,Pros_And_Cons_Treatment,Pros_And_Cons_Specialisation,Pros_And_Cons_Connection,Pros_And_Cons_FeelInvested,Pros_And_Cons_Rights,Pros_And_Cons_HealthSafety,Work_Preference,What_Improvements_Pay,What_Improvements_MoreHours,What_Improvements_LessHours,What_Improvements_MoreConsistency,What_Improvements_MoreFlexibility,What_Improvements_PartofInhouse,What_Improvements_PartofOutsourced,What_Improvements_Treatment,What_Improvements_BetterTerms,What_Improvements_EnforceRights,What_Improvements_Management,What_Improvements_Autonomy,What_Improvements_Union,What_Improvements_Other,What_Improvements_None,What_Improvements_Other_TEXT,Complaints,Outsourced
Male,38,English / Welsh / Scottish / Northern Irish / British,White British,White,North East,"A private firm, business or limited company",NA,High,Within the last 10 years,Not born in UK,41888.57142857143,900,0,High,group 1 outsourced and long term,Yes,Yes,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",25-35 hours,1-2 weeks,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",Not being paid on time,NA,NA,NA,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,NA,NA,,5,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,Usually disrespected or treated poorly,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Often,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,3.5454545454545454,NA,NA,NA,NA,I like my colleagues,I like the workplace culture,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid less,I have less secure working hours,I get worse holiday leave,Neither / no impact,I have less opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would prefer to be an outsourced worker,NA,NA,Fewer working hours,NA,NA,NA,Feeling more like a part of the team with other outsourced staff,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,0.5514356818790315
Male,24,Indian,Asian/Asian British,Non-White,East of England,Some other kind of organisation,A health authority or NHS Trust,Mid,Within the last 5 years,Not born in UK,70000,1503.9901780233272,1,High,group 1 outsourced and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa",I’m not sure,No guaranteed hours (zero hours),Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I don’t know / not sure,I feel I am treated  better  than in-house staff,I feel I am treated  worse  than in-house staff,Always respected and treated well,Never,Never,Never,Rarely,Never,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Not sure,Somewhat disagree,3.5,NA,My job is in a convenient location,NA,The pay is good,NA,NA,NA,NA,NA,NA,NA,I get to work less flexibly,I get paid less,Neither / no impact,I get worse holiday leave,I get worse terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated worse than in house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I would strongly prefer to be an outsourced worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Having more autonomy at work,NA,NA,NA,,Neither agree nor disagree,0.8917073336491076
Male,30,African,Black/African/Caribbean/Black British,Non-White,North East,"A private firm, business or limited company",NA,Low,Within the last year,Not born in UK,7679.571428571428,165,0,Low,group 1 outsourced and long term,No,Yes,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)",I’m not sure,16-24 hours,4-6 days,Yes,0%,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I don’t know / I’m not sure,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,It’s not possible to say / there are no in-house staff I can compare myself to,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Not sure,Strongly agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,NA,My job is in a convenient location,NA,NA,I like my colleagues,I like the workplace culture,It is helping me develop skills and experience I need to progress,This was the best job available to me,NA,NA,NA,Don't know,Don't know,I have less secure working hours,Don't know,Don't know,I have more opportunity to progress onto higher pay or be promoted,Don't know,Don't know,Don't know,Don't know,I feel more connected to people I work with,I feel more invested in my role and my work,Don't know,My health and safety at work is more protected,I would prefer to be an in-house worker,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.5892206105254321
Male,19,Pakistani,Asian/Asian British,Non-White,West Midlands,"A private firm, business or limited company",NA,High,Within the last 3 years,Not born in UK,25200,541.4364640883978,0,Mid,group 1 outsourced and long term,Yes,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35+ hours,1-2 weeks,Yes,75-99%,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,Not having adequate health and safety protections,NA,,4,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I did not feel prepared or adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  the same  as in-house staff,"Sometimes well, sometimes poorly",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3.3636363636363638,NA,NA,NA,NA,NA,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,I get to work less flexibly,I get paid more,I have less secure working hours,Neither / no impact,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,Neither / no impact,I have more job security,I am treated worse than in house colleagues,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is less protected,I would prefer to be an outsourced worker,Higher pay,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,1.0739441744046065
Female,58,English / Welsh / Scottish / Northern Irish / British,White British,White,North East,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,60000,1289.134438305709,0,High,group 2 agency and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4.454545454545454,NA,My job is in a convenient location,I can work flexibly in a way which suits me,The pay is good,I like my colleagues,NA,NA,NA,NA,NA,NA,I get to work less flexibly,I get paid more,I have more secure working hours,Neither / no impact,Neither / no impact,I have less opportunity to progress onto higher pay or be promoted,Neither / no impact,Neither / no impact,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I have no preference,NA,NA,Fewer working hours,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.48257563442530865
Female,25,English / Welsh / Scottish / Northern Irish / British,White British,White,London,"A private firm, business or limited company",NA,High,Prefer not to say,Prefer not to say,NA,NA,0,NA,group 1 outsourced and long term,Prefer not to say,Don't know,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)",I’m not sure,35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,5,NA – there are no in-house colleagues in comparable roles to mine,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,Always respected and treated well,Never,Never,Sometimes,Never,Rarely,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4.090909090909091,NA,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,My health and safety at work is more protected,Not sure,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.1260462436318865
Female,20,English / Welsh / Scottish / Northern Irish / British,White British,White,East of England,"A private firm, business or limited company",NA,Mid,Within the last year,Not born in UK,15600,335.17495395948436,0,Low,group 1 outsourced and long term,No,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,3.4545454545454546,NA,My job is in a convenient location,NA,NA,NA,I like the workplace culture,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat disagree,1.3655837191048388
Male,26,Any other ethnic group,Other ethnic group,Non-White,South East,"A private firm, business or limited company",NA,High,Within the last 30 years,Not born in UK,19200,412.5230202578269,0,Mid,group 3 5 or 6 indicators and long term,Yes,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",35+ hours,More than 2 weeks but less than 4 weeks,Yes,0%,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,7,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,Usually disrespected or treated poorly,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,1.8181818181818181,NA,My job is in a convenient location,NA,NA,NA,I like the workplace culture,It is helping me develop skills and experience I need to progress,NA,NA,NA,NA,I get to work less flexibly,I get paid more,I have more secure working hours,I get worse holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have less job security,I am treated better than in-house colleagues,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would prefer to be an in-house worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finding it easier to understand lines of management and who is responsible for me,NA,NA,NA,NA,,Somewhat disagree,1.2643911893443467
Male,49,English / Welsh / Scottish / Northern Irish / British,White British,White,East of England,"A private firm, business or limited company",NA,Low,I was born in the UK,Born in UK,30000,644.5672191528545,0,Mid,group 2 agency and long term,No,No,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,4,NA – there are no in-house colleagues in comparable roles to mine,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,"Sometimes well, sometimes poorly",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,3.272727272727273,NA,NA,NA,The pay is good,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,NA,NA,Fewer working hours,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,1.412681951152248
Male,45,Arab,Arab,Non-White,East of England,"A private firm, business or limited company",NA,High,Within the last 30 years,Not born in UK,60000,1289.134438305709,0,High,group 1 outsourced and long term,Yes,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,Not being paid the full amount I am entitled to for the work I have completed,NA,NA,NA,NA,NA,NA,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  worse  than in-house staff,"Sometimes well, sometimes poorly",Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,3.4545454545454546,I like doing this kind of work,NA,I can work flexibly in a way which suits me,NA,I like my colleagues,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,I get to work more flexibly,I get paid less,Neither / no impact,I get worse holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have less job security,I am treated worse than in house colleagues,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would strongly prefer to be an outsourced worker,NA,NA,NA,NA,NA,Feeling more like a part of the team with in-house staff,NA,Being treated better,NA,NA,NA,Having more autonomy at work,NA,NA,NA,,Somewhat agree,1.2711694344987479
Female,46,English / Welsh / Scottish / Northern Irish / British,White British,White,London,"A private firm, business or limited company",NA,High,Within the last 15 years,Not born in UK,200000,4297.114794352363,1,High,group 1 outsourced and long term,NA,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,Not being given time off that I am entitled to,Not being paid for paid leave that I am entitled to,NA,NA,Not having adequate health and safety protections,NA,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,Always respected and treated well,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Never,Often,Sometimes,Rarely,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,3.090909090909091,NA,My job is in a convenient location,NA,The pay is good,NA,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,Neither / no impact,I get paid more,Neither / no impact,I get worse holiday leave,Don't know,Don't know,I have  less access to training and development,Neither / no impact,Neither / no impact,Neither / no impact,I feel less connected to people I work with,I feel less invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I would prefer to be an outsourced worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Somewhat disagree,0.7720635289081558
Female,54,Any other White background,White Other,Non-White,East Midlands,"A private firm, business or limited company",NA,High,More than 30 years ago,Not born in UK,19200,412.5230202578269,0,Mid,group 1 outsourced and long term,No,No,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",25-35 hours,1-3 days,Yes,0%,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,NA,not being given breaks in my 7/8 hour shift but they deduct 20 minutes pay for a break that i don't get!!,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  worse  than in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Not sure,Strongly agree,Strongly agree,4.8,I like doing this kind of work,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have less secure working hours,I get better holiday leave,Neither / no impact,Neither / no impact,Neither / no impact,I have less job security,I am treated better than in-house colleagues,Neither / no impact,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I would strongly prefer to be an outsourced worker,Higher pay,NA,NA,NA,NA,NA,NA,Being treated better,NA,Finding it easier to understand and enforce my rights,NA,NA,NA,NA,NA,,Strongly agree,0.704951420582307
Female,45,African,Black/African/Caribbean/Black British,Non-White,London,"A private firm, business or limited company",NA,High,Within the last 15 years,Not born in UK,8400,180.47882136279927,0,Low,group 1 outsourced and long term,No,Don't know,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se",16-24 hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,NA,My job is in a convenient location,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,I can do the job alongside childcare or caring for others,I get to work more flexibly,Neither / no impact,I have more secure working hours,I get better holiday leave,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,Neither / no impact,I find it easier to assert my rights at work,My health and safety at work is more protected,I would strongly prefer to be an in-house worker,Higher pay,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,Finding it easier to understand and enforce my rights,NA,NA,NA,NA,NA,,Strongly disagree,0.3689516572000736
Male,35,English / Welsh / Scottish / Northern Irish / British,White British,White,South West,Some other kind of organisation,Central government or civil service,Mid,I was born in the UK,Born in UK,33600,721.9152854511971,0,High,group 1 outsourced and long term,No,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,No guaranteed hours (zero hours),4 weeks or more,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,NA,None of these,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,4.181818181818182,I like doing this kind of work,NA,NA,NA,NA,NA,NA,This was the best job available to me,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,1.3804977744841522
Female,54,African,Black/African/Caribbean/Black British,Non-White,South West,"A private firm, business or limited company",NA,High,Within the last 10 years,Not born in UK,20400,438.30570902394106,0,Mid,group 2 agency and long term,Yes,No,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,NA,NA,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4.909090909090909,I like doing this kind of work,NA,NA,The pay is good,NA,I like the workplace culture,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have more secure working hours,I get better holiday leave,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,Neither / no impact,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I have no preference,NA,NA,NA,NA,NA,NA,NA,Being treated better,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.29407322749630666
Male,48,Pakistani,Asian/Asian British,Non-White,West Midlands,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,32580,700,0,Mid,group 2 agency and long term,Yes,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,I like doing this kind of work,My job is in a convenient location,NA,The pay is good,I like my colleagues,I like the workplace culture,NA,This was the best job available to me,NA,NA,NA,Neither / no impact,I get paid more,I have more secure working hours,I get better holiday leave,Neither / no impact,Neither / no impact,Neither / no impact,I have more job security,Neither / no impact,Neither / no impact,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,NA,NA,Fewer working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,1.9200748488807404
